27011188,r,b,b,b,b,r,b,m
40636237,r,b,b,b,m,r,r,m
45502329,b,b,m,b,r,b,m,b
27089928,m,r,b,m,m,b,r,b
48153405,b,m,b,b,b,b,r,m
20994644,b,b,b,b,r,r,m,b
26302174,m,m,r,m,b,m,m,m
24553264,b,r,m,b,b,b,b,m
44233617,m,r,m,r,m,m,m,m
41223518,r,m,b,r,m,b,m,r
40117140,r,r,r,m,m,m,r,b
40688703,r,r,r,b,r,m,r,m
32006863,r,b,b,r,r,r,m,b
23707176,b,r,b,b,r,m,m,r
27100061,b,b,r,r,r,b,b,m
25560385,m,m,r,b,b,m,b,r
35123062,r,m,r,b,m,b,r,b
40548401,r,m,r,b,r,m,b,b
49272013,r,b,b,b,b,m,m,m
47791450,b,r,m,m,r,r,b,m
32961792,m,r,m,m,r,b,b,m
43160055,b,r,b,b,m,r,r,m
39571572,b,m,b,b,r,b,r,r
44565420,r,r,m,r,b,b,b,r
33988922,b,b,m,m,r,r,b,b
29101849,m,r,r,b,r,r,m,r
43432968,b,r,m,b,r,m,r,b
33755965,r,m,r,b,b,m,m,b
24168836,r,r,b,m,m,r,b,r
39533436,b,m,r,b,b,b,m,r
46504345,r,r,r,b,b,r,m,r
31887678,b,b,r,b,m,b,m,r
24766813,m,b,r,r,r,b,b,r
