37857966,m,m,m,b,r
37154179,m,m,m,r,m
46504345,b,r,b,m,b
23683193,r,r,r,r,b
27100061,b,b,r,b,b
22143038,b,r,r,m,r
40666506,b,r,r,b,r
24479942,m,m,r,m,b
22087649,m,b,m,m,r
39844120,m,b,r,b,b
28660939,b,m,r,b,b
24832718,m,m,b,r,b
38654975,b,m,r,b,m
48102498,m,r,m,b,b
33287169,b,r,r,m,b
39140585,b,m,m,b,r
27313238,r,b,b,r,r
44925273,b,b,b,r,b
30077861,r,r,b,m,b
24695223,b,b,r,m,b
27752423,r,m,b,r,r
23352884,m,m,m,r,m
26298026,r,r,r,m,r
48472660,b,r,m,m,m
25560385,b,m,m,b,m
36684536,b,b,b,b,m
43067154,r,m,r,m,r
25490644,r,m,b,r,b
27089928,r,b,r,r,m
40470673,b,m,m,m,r
33786542,r,b,m,r,r
39533436,m,r,r,b,r
36078683,b,r,r,r,r
44565420,r,r,r,b,b
21694586,r,b,b,m,r
39643600,m,m,m,r,m
37066499,b,m,m,m,b
45143151,r,b,b,r,b
29272984,r,m,b,r,m
34141138,b,b,b,r,r
34855658,m,m,b,r,r
25090046,r,m,b,r,r
36883834,r,m,m,b,b
33988922,m,r,b,r,b
43787050,r,r,m,m,b
40117140,r,b,r,b,b
20156192,r,m,r,r,m
24766813,b,r,r,m,r
39260036,r,m,m,m,b
38891229,b,m,r,b,r
34851361,b,b,m,b,m
41223518,r,m,b,b,m
29101849,b,r,r,b,m
31916152,m,b,b,r,m
40480231,b,m,r,m,m
36013670,r,m,m,m,b
26563080,m,r,m,b,b
40548401,m,b,b,r,b
44925839,b,m,b,b,m
43224380,r,m,m,b,m
44960538,m,m,m,b,m
26289927,b,b,b,m,r
39936739,b,b,b,b,r
38860052,b,b,r,r,b
31391033,b,m,r,r,r
25211310,b,b,r,m,m
24083420,m,m,m,r,r
45502329,m,b,r,b,r
38700564,b,m,r,b,b
21388442,m,r,b,m,m
20665775,b,b,m,m,r
48656546,m,r,b,r,r
25089206,r,b,b,r,m
32006863,r,m,r,b,r
38601554,r,r,b,r,b
23707176,m,m,m,m,m
36662271,r,r,b,b,m
44024252,r,b,m,r,m
49149659,r,m,r,r,r
36291219,b,b,b,r,b
34197311,r,b,b,r,b
42706805,m,r,m,r,b
25192330,b,b,r,m,b
36772566,m,r,m,m,b
49749394,r,r,m,m,m
26821717,r,m,b,r,b
32495850,r,b,r,m,r
33755965,r,m,r,m,r
33190878,b,m,r,r,r
39765439,m,b,r,m,b
33202655,b,r,m,r,b
31887678,m,m,m,r,r
23122584,b,b,r,r,m
25761397,b,m,b,r,b
43432968,m,m,r,r,b
37317308,b,m,b,b,m
35449033,r,b,b,b,r
