27532021,b,b
31916152,b,b
40235702,m,b
47648400,r,m
26289927,r,b
23707176,m,b
26667873,m,b
37066499,b,m
22434878,r,r
42706805,m,m
37706601,b,m
24083420,b,r
46881372,m,r
21388442,m,b
39936739,b,r
24832718,b,m
32099604,r,r
23683193,r,m
46496260,r,m
48924043,r,b
39025017,m,m
41311235,m,r
36013670,b,b
38601554,b,b
26726792,m,b
36684536,m,r
49272013,m,m
33190878,r,r
27464496,b,b
37000913,b,b
37317308,b,r
26821717,m,b
37133422,r,m
25211310,r,b
42777420,b,r
22087649,m,m
38860052,m,r
25490644,r,m
43432968,b,r
40117140,b,r
37174611,r,m
46150274,m,m
47400845,b,r
47897982,b,b
20665775,r,m
46504345,r,b
48424965,b,m
35123062,r,b
25090046,m,r
23282923,b,b
25089206,b,m
39260036,b,b
29777634,r,b
24941950,m,m
32961792,r,b
